model,fold,AUC,F1,Recall,Precision,Accuracy
LightGBM,1,0.7037037037037037,0.7678571428571429,0.7962962962962963,0.7413793103448276,0.6708860759493671
LightGBM,2,0.6038961038961038,0.7358490566037735,0.6964285714285714,0.78,0.6410256410256411
LightGBM,3,0.6596226415094341,0.7567567567567568,0.7924528301886793,0.7241379310344828,0.6538461538461539
LightGBM,4,0.632396449704142,0.75,0.8076923076923077,0.7,0.6410256410256411
LightGBM,5,0.5969498910675382,0.7207207207207207,0.7843137254901961,0.6666666666666666,0.6025641025641025
XGBoost,1,0.7303703703703704,0.8264462809917356,0.9259259259259259,0.746268656716418,0.7341772151898734
XGBoost,2,0.5762987012987013,0.8034188034188035,0.8392857142857143,0.7704918032786885,0.7051282051282052
XGBoost,3,0.7373584905660376,0.8225806451612904,0.9622641509433962,0.7183098591549296,0.717948717948718
XGBoost,4,0.6353550295857988,0.8,0.9615384615384616,0.684931506849315,0.6794871794871795
XGBoost,5,0.6216412490922294,0.7903225806451613,0.9607843137254902,0.6712328767123288,0.6666666666666666
CatBoost,1,0.725925925925926,0.8360655737704918,0.9444444444444444,0.75,0.7468354430379747
CatBoost,2,0.5949675324675324,0.7966101694915254,0.8392857142857143,0.7580645161290323,0.6923076923076923
CatBoost,3,0.7645283018867923,0.8387096774193549,0.9811320754716981,0.7323943661971831,0.7435897435897436
CatBoost,4,0.6708579881656805,0.7903225806451613,0.9423076923076923,0.6805555555555556,0.6666666666666666
CatBoost,5,0.6891793754538852,0.7936507936507936,0.9803921568627451,0.6666666666666666,0.6666666666666666
LogisticRegression,1,0.7007407407407408,0.6938775510204082,0.6296296296296297,0.7727272727272727,0.620253164556962
LogisticRegression,2,0.5689935064935066,0.6105263157894737,0.5178571428571429,0.7435897435897436,0.5256410256410257
LogisticRegression,3,0.7683018867924529,0.7422680412371134,0.6792452830188679,0.8181818181818182,0.6794871794871795
LogisticRegression,4,0.6153846153846154,0.7058823529411765,0.6923076923076923,0.72,0.6153846153846154
LogisticRegression,5,0.644880174291939,0.6526315789473685,0.6078431372549019,0.7045454545454546,0.5769230769230769
RandomForest,1,0.6925925925925926,0.8548387096774194,0.9814814814814815,0.7571428571428571,0.7721518987341772
RandomForest,2,0.5726461038961038,0.7967479674796748,0.875,0.7313432835820896,0.6794871794871795
RandomForest,3,0.7845283018867925,0.8346456692913385,1.0,0.7162162162162162,0.7307692307692307
RandomForest,4,0.6875,0.8,0.9615384615384616,0.684931506849315,0.6794871794871795
RandomForest,5,0.70079883805374,0.8,0.9803921568627451,0.6756756756756757,0.6794871794871795
ExtraTrees,1,0.6770370370370371,0.8292682926829268,0.9444444444444444,0.7391304347826086,0.7341772151898734
ExtraTrees,2,0.570211038961039,0.8032786885245902,0.875,0.7424242424242424,0.6923076923076923
ExtraTrees,3,0.7777358490566038,0.8412698412698413,1.0,0.726027397260274,0.7435897435897436
ExtraTrees,4,0.6860207100591716,0.8031496062992126,0.9807692307692307,0.68,0.6794871794871795
ExtraTrees,5,0.7102396514161219,0.7903225806451613,0.9607843137254902,0.6712328767123288,0.6666666666666666
GradientBoosting,1,0.6962962962962963,0.8387096774193549,0.9629629629629629,0.7428571428571429,0.7468354430379747
GradientBoosting,2,0.48538961038961037,0.7933884297520661,0.8571428571428571,0.7384615384615385,0.6794871794871795
GradientBoosting,3,0.739622641509434,0.8225806451612904,0.9622641509433962,0.7183098591549296,0.717948717948718
GradientBoosting,4,0.6294378698224852,0.7967479674796748,0.9423076923076923,0.6901408450704225,0.6794871794871795
GradientBoosting,5,0.5954974582425562,0.7716535433070866,0.9607843137254902,0.6447368421052632,0.6282051282051282
AdaBoost,1,0.5803703703703704,0.8120300751879699,1.0,0.6835443037974683,0.6835443037974683
AdaBoost,2,0.4914772727272727,0.8372093023255814,0.9642857142857143,0.7397260273972602,0.7307692307692307
AdaBoost,3,0.7456603773584906,0.8091603053435115,1.0,0.6794871794871795,0.6794871794871795
AdaBoost,4,0.6264792899408285,0.8031496062992126,0.9807692307692307,0.68,0.6794871794871795
AdaBoost,5,0.5112563543936094,0.7619047619047619,0.9411764705882353,0.64,0.6153846153846154
SVM,1,0.7103703703703703,0.7476635514018691,0.7407407407407407,0.7547169811320755,0.6582278481012658
SVM,2,0.5653409090909091,0.7272727272727273,0.7142857142857143,0.7407407407407407,0.6153846153846154
SVM,3,0.7464150943396226,0.7346938775510204,0.6792452830188679,0.8,0.6666666666666666
SVM,4,0.6464497041420119,0.7927927927927928,0.8461538461538461,0.7457627118644068,0.7051282051282052
SVM,5,0.7211328976034858,0.75,0.7647058823529411,0.7358490566037735,0.6666666666666666
GaussianNB,1,0.5896296296296296,0.41025641025641024,0.2962962962962963,0.6666666666666666,0.4177215189873418
GaussianNB,2,0.439935064935065,0.6274509803921569,0.5714285714285714,0.6956521739130435,0.5128205128205128
GaussianNB,3,0.6913207547169812,0.7747747747747747,0.8113207547169812,0.7413793103448276,0.6794871794871795
GaussianNB,4,0.5358727810650887,0.5176470588235295,0.4230769230769231,0.6666666666666666,0.47435897435897434
GaussianNB,5,0.5199709513435004,0.6857142857142857,0.7058823529411765,0.6666666666666666,0.5769230769230769
MLP,1,0.8644444444444445,0.8653846153846154,0.8333333333333334,0.9,0.8227848101265823
MLP,2,0.5892857142857143,0.7387387387387387,0.7321428571428571,0.7454545454545455,0.6282051282051282
MLP,3,0.7471698113207548,0.7777777777777778,0.7924528301886793,0.7636363636363637,0.6923076923076923
MLP,4,0.6634615384615385,0.8173913043478261,0.9038461538461539,0.746031746031746,0.7307692307692307
MLP,5,0.7407407407407407,0.7962962962962963,0.8431372549019608,0.7543859649122807,0.717948717948718
KNN,1,0.6270370370370371,0.8067226890756303,0.8888888888888888,0.7384615384615385,0.7088607594936709
KNN,2,0.5604707792207793,0.784,0.875,0.7101449275362319,0.6538461538461539
KNN,3,0.7226415094339622,0.8225806451612904,0.9622641509433962,0.7183098591549296,0.717948717948718
KNN,4,0.5913461538461539,0.7903225806451613,0.9423076923076923,0.6805555555555556,0.6666666666666666
KNN,5,0.622004357298475,0.7586206896551724,0.8627450980392157,0.676923076923077,0.6410256410256411
