feature,importance,selected_by_shap
num__amplitude_decrement_end_to_mean_denoised,0.7157255887768126,True
num__aperiodicity_trimmed,0.3954436531844992,True
num__frequency_lr_fitness_r2_denoised,0.30611040212157425,True
num__amplitude_max_denoised,0.3047541254346543,True
num__speed_min_denoised,0.2930850354371794,True
num__maxFreezeDuration_denoised,0.2886734716949482,True
num__speed_max_denoised,0.28030682525533934,True
num__amplitude_entropy_denoised,0.2552872324599446,True
num__frequency_lr_fitness_r2_trimmed,0.23596717563711578,True
num__amplitude_decrement_slope_trimmed,0.2242493246138067,True
num__period_min_denoised,0.20157766973126848,True
num__speed_quartile_range_denoised,0.1874046529757274,True
num__speed_median_trimmed,0.18578247733054024,True
num__wrist_mvmnt_y_max,0.18299083069081107,True
num__frequency_min_denoised,0.17164907639359547,True
num__acceleration_min_denoised,0.1666245451252614,True
num__maxFreezeDuration_trimmed,0.16215469672308913,True
num__amplitude_decrement_slope_denoised,0.14839176481330868,True
num__periodVarianceNorm_trimmed,0.1421134794699455,True
num__acceleration_min_trimmed,0.13963350995828425,True
num__amplitude_stdev_denoised,0.13743007507990845,True
num__wrist_mvmnt_dist_min,0.13708623433586206,True
num__frequency_lr_slope_trimmed,0.13114522620328084,True
num__amplitude_decrement_fit_min_degree_denoised,0.1291621102964946,True
num__amplitude_decrement_end_to_mean_trimmed,0.12398287072982213,True
num__periodVarianceNorm_denoised,0.11388040437456198,True
num__amplitude_quartile_range_denoised,0.1003308708694912,True
num__wrist_mvmnt_y_median,0.09813469288839068,True
num__period_quartile_range_denoised,0.09611245579485186,False
num__period_quartile_range_trimmed,0.09387198602272186,False
num__amplitude_decrement_fitness_r2_denoised,0.09241090892469575,False
num__speed_min_trimmed,0.08999769006370241,False
num__periodEntropy_denoised,0.08935247211517974,False
num__aperiodicity_denoised,0.08800145149331554,False
num__frequency_lr_slope_denoised,0.0876785381240669,False
num__wrist_mvmnt_y_min,0.08750507064890163,False
num__frequency_quartile_range_denoised,0.07906562107916645,False
num__amplitude_median_denoised,0.07855431529102458,False
num__amplitude_decrement_last_to_first_half_denoised,0.07809396747765185,False
num__num_peaks_trimmed,0.07303654404867128,False
num__amplitude_decrement_fit_min_degree_trimmed,0.06450400612948139,False
num__frequency_fit_min_degree_trimmed,0.06186076204104478,False
num__frequency_fit_min_degree_denoised,0.0595548773075809,False
num__wrist_mvmnt_x_min,0.059535880563384345,False
num__wrist_mvmnt_x_median,0.059340229207525165,False
num__period_median_denoised,0.05084216241221061,False
num__frequency_stdev_denoised,0.04905397653117338,False
num__speed_median_denoised,0.04328468168549076,False
num__amplitude_decrement_fitness_r2_trimmed,0.03957344031391011,False
num__amplitude_stdev_trimmed,0.02108313286277347,False
cat__hand_Left,0.012169767337052832,False
cat__hand_Right,0.0068956046389223565,False
num__numFreeze_denoised,0.005693591063870589,False
num__numInterruptions_denoised,0.0,False
num__numFreeze_trimmed,0.0,False
