model,fold,AUC,F1,Recall,Precision,Accuracy
LightGBM,1,0.7696296296296297,0.8108108108108109,0.8333333333333334,0.7894736842105263,0.7341772151898734
LightGBM,2,0.7337662337662337,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.7692307692307693
LightGBM,3,0.8007547169811321,0.8495575221238938,0.9056603773584906,0.8,0.782051282051282
LightGBM,4,0.8158284023668639,0.8392857142857143,0.9038461538461539,0.7833333333333333,0.7692307692307693
LightGBM,5,0.7530864197530864,0.8108108108108109,0.8823529411764706,0.75,0.7307692307692307
XGBoost,1,0.7644444444444445,0.8347826086956521,0.8888888888888888,0.7868852459016393,0.759493670886076
XGBoost,2,0.7321428571428571,0.8547008547008547,0.8928571428571429,0.819672131147541,0.782051282051282
XGBoost,3,0.8083018867924529,0.8448275862068966,0.9245283018867925,0.7777777777777778,0.7692307692307693
XGBoost,4,0.8247041420118343,0.8571428571428571,0.9230769230769231,0.8,0.7948717948717948
XGBoost,5,0.7559912854030502,0.8347826086956521,0.9411764705882353,0.75,0.7564102564102564
CatBoost,1,0.7414814814814815,0.8333333333333334,0.9259259259259259,0.7575757575757576,0.7468354430379747
CatBoost,2,0.7118506493506493,0.847457627118644,0.8928571428571429,0.8064516129032258,0.7692307692307693
CatBoost,3,0.8256603773584906,0.8376068376068376,0.9245283018867925,0.765625,0.7564102564102564
CatBoost,4,0.8180473372781065,0.8695652173913043,0.9615384615384616,0.7936507936507936,0.8076923076923077
CatBoost,5,0.7828612926652142,0.8347826086956521,0.9411764705882353,0.75,0.7564102564102564
LogisticRegression,1,0.7029629629629629,0.7307692307692307,0.7037037037037037,0.76,0.6455696202531646
LogisticRegression,2,0.7418831168831169,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.6923076923076923
LogisticRegression,3,0.8030188679245284,0.8163265306122449,0.7547169811320755,0.8888888888888888,0.7692307692307693
LogisticRegression,4,0.7936390532544378,0.7878787878787878,0.75,0.8297872340425532,0.7307692307692307
LogisticRegression,5,0.6819172113289761,0.75,0.7058823529411765,0.8,0.6923076923076923
RandomForest,1,0.7474074074074074,0.848,0.9814814814814815,0.7464788732394366,0.759493670886076
RandomForest,2,0.7337662337662337,0.8524590163934426,0.9285714285714286,0.7878787878787878,0.7692307692307693
RandomForest,3,0.8135849056603774,0.847457627118644,0.9433962264150944,0.7692307692307693,0.7692307692307693
RandomForest,4,0.8439349112426036,0.847457627118644,0.9615384615384616,0.7575757575757576,0.7692307692307693
RandomForest,5,0.7857661583151779,0.847457627118644,0.9803921568627451,0.746268656716418,0.7692307692307693
ExtraTrees,1,0.7640740740740741,0.847457627118644,0.9259259259259259,0.78125,0.7721518987341772
ExtraTrees,2,0.726461038961039,0.859504132231405,0.9285714285714286,0.8,0.782051282051282
ExtraTrees,3,0.8309433962264151,0.85,0.9622641509433962,0.7611940298507462,0.7692307692307693
ExtraTrees,4,0.8324704142011834,0.8547008547008547,0.9615384615384616,0.7692307692307693,0.782051282051282
ExtraTrees,5,0.7886710239651415,0.8235294117647058,0.9607843137254902,0.7205882352941176,0.7307692307692307
GradientBoosting,1,0.7414814814814815,0.8548387096774194,0.9814814814814815,0.7571428571428571,0.7721518987341772
GradientBoosting,2,0.6753246753246753,0.8760330578512396,0.9464285714285714,0.8153846153846154,0.8076923076923077
GradientBoosting,3,0.849811320754717,0.85,0.9622641509433962,0.7611940298507462,0.7692307692307693
GradientBoosting,4,0.8424556213017751,0.864406779661017,0.9807692307692307,0.7727272727272727,0.7948717948717948
GradientBoosting,5,0.7240377632534496,0.8135593220338984,0.9411764705882353,0.7164179104477612,0.717948717948718
AdaBoost,1,0.6903703703703703,0.8235294117647058,0.9074074074074074,0.7538461538461538,0.7341772151898734
AdaBoost,2,0.7532467532467533,0.8666666666666667,0.9285714285714286,0.8125,0.7948717948717948
AdaBoost,3,0.8603773584905661,0.8571428571428571,0.9622641509433962,0.7727272727272727,0.782051282051282
AdaBoost,4,0.826923076923077,0.8771929824561403,0.9615384615384616,0.8064516129032258,0.8205128205128205
AdaBoost,5,0.7138707334785767,0.8245614035087719,0.9215686274509803,0.746031746031746,0.7435897435897436
SVM,1,0.6407407407407407,0.8360655737704918,0.9444444444444444,0.75,0.7468354430379747
SVM,2,0.7150974025974026,0.7964601769911505,0.8035714285714286,0.7894736842105263,0.7051282051282052
SVM,3,0.8037735849056604,0.8620689655172413,0.9433962264150944,0.7936507936507936,0.7948717948717948
